City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Montefiascone,IT,42.5393,12.0362,59.47,80,100,1.61,overcast clouds
79,Kuah,MY,6.3265,99.8432,81.81,73,100,4.23,overcast clouds
80,Kamina,CD,-8.7386,24.9906,69.84,84,100,4.7,moderate rain
81,Bambous Virieux,MU,-20.3428,57.7575,75.22,72,44,6.71,scattered clouds
82,Torbay,CA,47.6666,-52.7314,47.28,90,1,4.0,clear sky
83,Poykovskiy,RU,61.2333,73.3333,5.29,92,0,6.71,clear sky
84,Talakan,RU,50.3167,130.3667,26.22,43,2,2.28,clear sky
85,Clyde River,CA,70.4692,-68.5914,22.75,69,99,25.32,overcast clouds
86,La Esperanza,GT,14.8667,-91.5667,58.46,76,63,1.1,broken clouds
87,Cockburn Town,TC,21.4612,-71.1419,82.4,69,10,12.53,clear sky
88,Constitucion,CL,-35.3333,-72.4167,62.4,69,100,6.33,overcast clouds
89,Mount Isa,AU,-20.7333,139.5,82.17,20,100,10.36,light rain
90,Amarante Do Maranhao,BR,-5.5667,-46.7422,97.41,32,26,5.39,scattered clouds
91,Oktyabrskiy,RU,54.4815,53.471,47.16,90,89,11.41,overcast clouds
92,Zyryanka,RU,65.75,150.85,-2.87,100,90,6.76,overcast clouds
93,Saint George,US,37.1041,-113.5841,63.54,71,1,0.0,clear sky
94,Izberbash,RU,42.5696,47.8645,55.45,91,98,8.39,overcast clouds
95,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,10.36,broken clouds
96,Poum,NC,-20.2333,164.0167,74.64,68,0,15.28,clear sky
97,Ratnagiri,IN,16.9833,73.3,80.71,75,89,6.87,overcast clouds
98,Moose Factory,CA,51.2585,-80.6094,39.18,93,90,2.3,overcast clouds
99,Santa Fe,AR,-31.6333,-60.7,93.0,44,47,1.99,scattered clouds
100,Rimbey,CA,52.6334,-114.2353,21.67,57,7,3.22,clear sky
101,Barra Do Bugres,BR,-15.0725,-57.1811,95.38,40,21,4.27,few clouds
102,Palana,RU,59.1167,159.9667,16.84,86,100,20.15,light snow
103,Auki,SB,-8.7676,160.7034,76.78,89,75,4.29,broken clouds
